You must choose a item.,You must choose a item.
You must choose a category.,You must choose a category.
You must choose a product.,You must choose a product.
The product has been update category.,The product has been update category.
Categories,Categories
Product ID,Product ID
Unlink old category,Unlink old category
Product Info,Product Info
General,General
Save,Save
Save and Continue Edit,Save and Continue Edit
Back,Back
Category update,Category update
Bss module config,Bss module config
Admin Product Grid with Category,Admin Product Grid with Category
Employee Information,Employee Information
Enabled,Enabled
Mass Action,Mass Action
Unlink old category,Unlink old category
Update Category,Update Category
Category ID,Category ID
