"Limit Product Quantity Per Month","Limit Product Quantity Per Month"
"Leave blank for unlimited quantities per month.","Leave blank for unlimited quantities per month."
"[%1] products that reached the order limit this month.","[%1] products that reached the order limit this month."
"Quick set allowed qty per month for products","Quick set allowed qty per month for products"
"Quick set allowed qty per month","Quick set allowed qty per month"
"Limit qty","Limit qty"
"Order Restriction","Order Restriction"
"Bss Order Restriction Config","Bss Order Restriction Config"
"Manage Order Restriction","Manage Order Restriction"
"Products %1 are not be updated. Please review the log.","Products %1 are not be updated. Please review the log."
