"Product","Link","SKU","Purchases","Downloads"
"BEVERAGES_Tweed Bakerstreet Ginger_InStore_Digital_Chill_1080x1920_vertical","BEVERAGES_Tweed Bakerstreet Ginger_InStore_Digital_Chill_1080x1920_vertical","DIGITAL-49000","Unlimited","6"
"BEVERAGES_TweedBeautyRender_Bakerstreet&amp;Ginger","BEVERAGES_TweedBeautyRender_Bakerstreet&amp;Ginger","DIGITAL-49008","Unlimited","5"
"BEVERAGES_TweedBeautyRender_PNGFiles_Drinks_Houndstooth","BEVERAGES_TweedBeautyRender_PNGFiles_Drinks_Houndstooth","DIGITAL-49010","Unlimited","4"
"VANITY IMAGES - Tweed Houndstooth Pre-Roll 1g","PRJ_BeautyRender_TweedHoundstooth1g_PNG","DIGITAL-52002","Unlimited","3"
"SELL SHEET - Simple Stash English","ENGLISH_SimpleStash_SellSheet_8.5x11_FIN (003)","DIGITAL-43008","Unlimited","2"
"INSTORE SCREENS - Tweed High THC Bakerstreet, Vertical","FLOWER_Tweed High THC Bakerstreet_12-TVScreen_1080x1920_TWE_V2.01_FA","DIGITAL-51001","Unlimited","2"
"SELL SHEETS - Tweed Bakerstreet","FLOWER_Tweed_Bakerstreet_SellSheet_EN_FA","DIGITAL-51002","Unlimited","2"
"SELL SHEETS - Tweed Houndstooth","FLOWER_Tweed_Houndstooth_SellSheet_EN_FA","DIGITAL-51003","Unlimited","2"
"SELL SHEETS - Tweed Penelope","FLOWER_Tweed_Penelope_SellSheet_EN_FA","DIGITAL-51004","Unlimited","2"
"VANITY IMAGES - Tweed Bakerstreet Pre-Roll 1g","PRJ_BeautyRender_TweedBakerstreet1g_PNG","DIGITAL-52000","Unlimited","2"
"VANITY IMAGES - Tweed Bakerstreet Pre-Roll 5pk","PRJ_BeautyRender_TweedBakerstreet5pk_PNG","DIGITAL-52001","Unlimited","2"
"VANITY IMAGES - Tweed Houndstooth Pre-Roll 5pk","PRJ_BeautyRender_TweedHoundstooth5pk_PNG","DIGITAL-52003","Unlimited","2"
"SOCIAL - Tweed Vape &quot;Look No Further&quot; - Instagram Grid","VAPE_Tweed Vape Look No Further_1080x1080_IGGrid_EN_FA","DIGITAL-53001","Unlimited","2"
"SOCIAL - Tweed Vape &quot;Look No Further&quot; - Instagram Story","VAPE_Tweed Vape Look No Further_1080x1920_IGStory_EN_FA","DIGITAL-53002","Unlimited","2"
"BEVERAGES_Tweed Bakerstreet Ginger_InStore_Digital_Chill_1920x1080_Horizontal","BEVERAGES_Tweed Bakerstreet Ginger_InStore_Digital_Chill_1920x1080_Horizontal","DIGITAL-49001","Unlimited","2"
